Sample.ID,Date.Collected,Region,Population,MaterNAl_Family,Individual,GCLab,GCLad,SDab,SDad,SAIab,SAIad,BLOCK.POS,Family.Unique,Family.NonUnique,Block.ID
SD-MUD.23.10,7/10/2016,Prairie,SD-MUD,23,10,25.666667,26.333333,156.25,91.14583333,3.007812539,2.400173581,10-K15,SD-MUD_23,23,10
WNY-CB.18.4,7/30/2016,GL Alvar,WNY-CB,18,4,25.666667,26.333333,286.4583333,182.2916667,5.514322988,4.800347162,4-D6,WNY-CB_18,18,4
CAR-NBA.8.6,7/21/2016,GL Alvar,CAR-NBA,8,6,26,26.333333,364.5833333,208.3333333,7.109374999,5.486111041,6-E16,CAR-NBA_8,8,6
MB-CRN.29.4,7/6/2016,M Alvar,MB-CRN,29,4,26,26.333333,260.4166667,182.2916667,5.078125001,4.800347162,4-F16,MB-CRN_29,29,4
MB-MR.2.2,7/29/2016,M Alvar,MB-MR,2,2,26,26.333333,130.2083333,286.4583333,2.539062499,7.543402681,2-B8,MB-MR_2,2,2
WNY-CB.23.1,7/30/2016,GL Alvar,WNY-CB,23,1,26,26.333333,247.3958333,169.2708333,4.824218749,4.45746522,1-J11,WNY-CB_23,23,1
CAR-NBA.4.5,7/21/2016,GL Alvar,CAR-NBA,4,5,26.333333,26.333333,312.5,221.3541667,6.171874922,5.828992983,5-I14,CAR-NBA_4,4,5
CAR-NBA.4.9,7/21/2016,GL Alvar,CAR-NBA,4,9,26.333333,26.333333,390.625,169.2708333,7.714843652,4.45746522,9-G6,CAR-NBA_4,4,9
MAN-LCI.11.2,7/27/2016,GL Alvar,MAN-LCI,11,2,26.666667,26.333333,286.4583333,91.14583333,5.729166738,2.400173581,2-M8,MAN-LCI_11,11,2
WNY-CB.18.2,7/30/2016,GL Alvar,WNY-CB,18,2,27,26.333333,221.3541667,182.2916667,4.482421876,4.800347162,2-K2,WNY-CB_18,18,2
MAN-KIP.28.3,7/27/2016,GL Alvar,MAN-KIP,28,3,27.333333,26.333333,273.4375,195.3125,5.605468682,5.143229102,3-G8,MAN-KIP_28,28,3
MB-MR.38.10,7/6/2016,M Alvar,MB-MR,38,10,27.333333,26.333333,221.3541667,182.2916667,4.537760362,4.800347162,10-M8,MB-MR_38,38,10
WNY-CB.10.3,7/5/2016,GL Alvar,WNY-CB,10,3,27.333333,26.333333,312.5,247.3958333,6.406249922,6.514756861,3-B4,WNY-CB_10,10,3
